CHARGE,CHARGE_TYPE_CLASSIFICATION
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
CRIMINAL OFFENSES AND PENALTIES,misdemeanor
DOMESTIC BATTERY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
RECKLESS DRIVING,misdemeanor
FLEEING ON FOOT,misdemeanor
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
PETIT LARCENY,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE,misdemeanor
PETIT LARCENY,misdemeanor
FRAUD AND RELATED ACTIVITY IN CONNECTION WITH ACCESS DEVICES,felony
AUTO TAMPERING,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE,misdemeanor
POSSESSION OF MARIJUANA,misdemeanor
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
SPEEDING,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
NO OPERATORS LICENSE,misdemeanor
RECEIVING OR TRANSFERRING STOLEN VEHICLE,felony
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
FLEEING ON FOOT,misdemeanor
RECEIVING OR TRANSFERRING STOLEN VEHICLE,felony
SHOOTING ACROSS ROAD OR NEAR BUILDING OR CROWD,misdemeanor
FRAUD AND RELATED ACTIVITY IN CONNECTION WITH ACCESS DEVICES,felony
DOMESTIC BATTERY,misdemeanor
AUTO TAMPERING,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
FLEEING,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
RECKLESS DRIVING,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
DOMESTIC BATTERY,misdemeanor
SHOOTING ACROSS ROAD / NEAR BUILDING / CROWD,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
CREDIT CARD FORGERY,felony
1. FORGERY OF A CREDIT CARD,felony
3. FORGERY OF A CREDIT CARD,felony
CREDIT CARD FORGERY,felony
4. FORGERY OF A CREDIT CARD,felony
MAKING AND ISSUING WORTHLESS CHECKS,misdemeanor
MAKING AND ISSUING WORTHLESS CHECKS,misdemeanor
CREDIT CARD FORGERY,felony
CREDIT CARD FORGERY,felony
2. FORGERY OF A CREDIT CARD,felony
CREDIT CARD FORGERY,felony
5. FORGERY OF A CREDIT CARD,felony
SPEEDING,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED,misdemeanor
EXPIRED REGISTRATION,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
OPERATING WITHOUT A CERTIFICATE OFINSPECTION,misdemeanor
INTOXICATION OR DRINKING IN PUBLIC PLACES,misdemeanor
BURGLARY; ENTRY OF DWELLING OR OUTHOUSE,felony
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
OPERATORS,misdemeanor
UNLAWFUL ASSAULT,felony
BRANDISHING,misdemeanor
CONSPIRACY,felony
ROBBERY IN THE FIRST DEGREE,felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
"DELIVERY OF CRACK COCAINE WITHIN 1,000 FEET OF AN ELEMENTARY SCHOOL",felony
POSSESSION WITH INTENT TO DELIVER CRACK COCAINE,felony
VIOLATION PROTECTIVE ORDER,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
BATTERY,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
TRUANCY,misdemeanor
DRIVING SUSPENDED/ REVOKED; GENERAL,misdemeanor
OPERATION WITHOUT REGISTRATION,misdemeanor
OPERATION WITHOUT INSPECTION,misdemeanor
MANUFACTURE WITH INTENT TO DELIVER SCHEDULE IV,misdemeanor
POSSESSION WITH INTENT TO DELIVER SCHEDULE IV,felony
POSSESSION WITH INTENT TO DELIVER,felony
BATTERY,misdemeanor
KNOWINGLY/INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DUI,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE: COCAINE,felony
CONSPIRACY TO DELIVER CONTROLLED SUBSTANCE,felony
DELIVERY OF CONTROLLED SUBSTANCE: COCAINE,felony
DESTRUCTION OF PROPERTY,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
NO INSURANCE,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES OR DRUGS (HABITUAL USER),misdemeanor
RESTRICTED LICENSES(EXPIRED OPERATORS),misdemeanor
SELLING BEER TO MINOR,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC BATTERY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,misdemeanor
POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SHOPLIFTING,misdemeanor
SHOPLIFTING,misdemeanor
GIVE OR FURNISH NON-INTOXICATED BEER,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
MANDATORY SCHOOL ATTENDANCE,misdemeanor
MANDATORY SCHOOL ATTENDANCE,misdemeanor
MANDATORY SCHOOL ATTENDANCE,misdemeanor
FALSE INFORMATION,misdemeanor
POSSESSION OF LESS THAN 15 GRAMS OF MARIJUANA,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
SEAT BELT VIOLATION,misdemeanor
FISHING W/O LICENSE,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
SHOPLIFTING,misdemeanor
OPERATION WITHOUT CERT INSPECTION OF FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
TRUANCY,misdemeanor
CHILD PASSENGER DEVICES REQUIRED;CHILD SAFETY SEATS AND BOOSTER SEATS,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
5. PROHIBITED PERSON IN POSSESSION OF A FIREARM,felony
ROBBERY IN THE FIRST DEGREE,felony
STALKING,misdemeanor
3. MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
1. MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
2. MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
4. MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
FALSE PRETENSES,misdemeanor
PETIT LARCENY,misdemeanor
"MAKING, ISSUING WORTHLESS CHECKS",misdemeanor
CHILD NEGLECT RESULTING IN DEATH,felony
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
UNSAFE AND IMPROPER EQUIPPED VEHICLES,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
SEATBELT VIOLATION,misdemeanor
PETIT LARCENY,misdemeanor
FAILURE TO PAY FOR GASOLINE,misdemeanor
DRIVING UNDER THE INFLUENCE OF ALCOHOL OR CONTROLLED SUBSTANCES,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING SUSPENDED/ REVOKED; GENERAL,misdemeanor
REGISTRATION,misdemeanor
NO INSURANCE,misdemeanor
DISPLAY OF REGISTRATION PLATES,misdemeanor
OPERATION WITHOUT REGISTRATION,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DOMESTIC ASSAULT,misdemeanor
BRANDISHING DEADLY WEAPONS,misdemeanor
SPEEDING,misdemeanor
BRANDISHING DEADLY WEAPONS,misdemeanor
DOMESTIC BATTERY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
PETIT LARCENY,misdemeanor
CONSPIRACY; CONSTRUCTION OF SECTION; PENALTIES,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,felony
PETIT LARCENY,felony
CONSPIRACY,felony
POSSESSION OF CONTROLLED SUBSTANCE (METH),misdemeanor
PETIT LARCENY,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE (METH),misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,felony
CONSPIRACY,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
CURELTY TO ANIMALS,felony
BURGLARY,felony
DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC BATTERY,misdemeanor
BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
DOMESTIC ASSAULT- UNLAWFUL USE OF FORCE CAPABLE OF CAUSING PAIN/INJURY TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
SPEEDING,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
WANTON ENDANGERMENT,felony
MALICIOUS WOUNDING,felony
POSSESSION CONT/SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
MALICIOUS WOUNDING,felony
DOMESTIC BATTERY,misdemeanor
WANTON ENDANGERMENT,felony
WANTON ENDANGERMENT,felony
WANTON ENDANGERMENT,felony
POSSESSION W/ INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
DOMESTIC BATTERY,misdemeanor
WANTON ENDANGERMENT,felony
POSSESSION W/INTENT TO DELIVER CONT/SUBSTANCE,felony
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
WANTON ENDANGERMENT,felony
WANTON ENDANGERMENT,felony
WANTON ENDANGERMENT,felony
WANTON ENDANGERMENT,felony
WANTON ENDANGERMENT,felony
FALSELY REPORTING AN EMERGENCY INCIDENT-TO A LAW ENFORCEMENT OFFICER OR AGENCY,misdemeanor
RECKLESS DRIVING,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
DOMESTIC ASSAULT,misdemeanor
"CHILD NEGLECT BY PARENT, GUARDIAN OR CUSTODIAN CREATING RISK OF BODILY INJURY - 1ST OFFENSE",misdemeanor
CONSPIRACY,misdemeanor
BURGLARY,felony
FORGERY AND UTTERING,felony
FLEEING,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
FORGERY AND UTTERING,felony
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
FORGERY,felony
NO SEAT BELT VIOLATION,misdemeanor
GRAND LARCENY,felony
MALICIOUS WOUNDING,felony
ENTERING WITHOUT BREAKING,felony
OBSTRUCTING OFFICER,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY (10 MPH OR LESS ABOVE),misdemeanor
SPEEDING,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
SPEEDING,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
FLEEING IN VEHICLE,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
DRIVING UNDER THE INFLUENCE(2ND OFFENSE),misdemeanor
SPEEDING,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
ASSAULT,misdemeanor
ASSAULT,misdemeanor
CONSPIRACY,felony
DOMESTIC BATTERY,misdemeanor
SUN SCREENING DEVICE VIOLATION,misdemeanor
DOMESTIC BATTERY,misdemeanor
DESTRUCTION OF PROPERTY,felony
OPERATION OF MOTORCYCLE WITHOUT PERMIT,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-GENERAL,misdemeanor
CONSPIRACY,felony
SPEED LIMITATIONS GENERALLY (COUNTY HIGHWAY),misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DUI,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
NO SEATBELT,misdemeanor
DESTRUCTION OF PROPERTY,felony
OPERATION OF VEHICLES WITH SAFETY BELT,misdemeanor
DRIVING VEHICLE LICENSE SUSPENDED/REVOKED,misdemeanor
SOLICITING PROSTITUTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
PROSTITUTION,misdemeanor
SHOPLIFTING,misdemeanor
UNDERAGE CONSUMPTION OF ALCOHOL,misdemeanor
SEAT BELT VIOLATION,misdemeanor
POSS CONTROLLED SUB (METH),misdemeanor
SEAT BELT VIOLATION,misdemeanor
TRUANCY,misdemeanor
SHOPLIFTING,misdemeanor
HANDICAP ZONE PARKED,misdemeanor
DUI,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHED 1 OR 2 NARCOTIC),felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHED 1 OR 2 NARCOTIC),felony
PARKING VIOLATION,petty_offense
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,petty_offense
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
NO INSURANCE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,petty_offense
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
OPERATION OF VEHICLES WITH SAFETY BELTS,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC BATTERY,misdemeanor
ROBBERY/NON-AGGRAVATED,felony
ROBBERY/NON-AGGRAVATED,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
DRIVING SUSPENDED/REVOKED,misdemeanor
NO INSURANCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE FIRST OFFENSE,misdemeanor
UNLAWFUL RESTRAINT,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/ REVOKED FOR DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
SPEEDING,misdemeanor
PROVIDING ALCOHOL TO MINOR,misdemeanor
SPEEDING,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
SPEEDING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING UNDER THE INFLUENCE OF ALCOHOL,misdemeanor
OPERATING A VEHICLE WITHOUT INSPECTION,misdemeanor
GRAND LARCENY,felony
GRAND LARCENY,felony
LEAVING SCENE OF ACCIDENT,misdemeanor
FLEEING FROM OFFICER,felony
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
CONSPIRACY,felony
FALSE PRESTENSES,felony
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
GRAND LARCENY,felony
TRANSFER & RECEIVE,felony
DAYTIME BURGLARY,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
POSSESSION WITH THE INTENT TO DELIVER A CONTROLLED SUBSTANCE,felony
RECEIVING / TRANSFERRING STOLEN PROPERTY,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
LEAVING SCENE OF ACCIDENT,misdemeanor
RECEIVING OR TRANSFERRING STOLEN VEHICLE,felony
UNLAWFUL TAKING OF VEHICLE,misdemeanor
PETIT LARCENY,misdemeanor
POSSESSION WITH INTENT TO DELIVER,felony
FRAUD IN CONNECTION WITH ACCESS DEVICE,felony
LEAVING SCENE OF ACCIDENT,misdemeanor
FORGERY,felony
CONSPIRACY,felony
PETIT LARCENY,misdemeanor
FLEEING FROM OFFICER ON FOOT,misdemeanor
ATTEMPTED BURGLARY,felony
FLEEING IN VEHICLE FROM LAW ENFORCEMENT,felony
BURGLARY,felony
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
FRAUDULENT USE OF ACCESS DEVICE,felony
BURGLARY,felony
CONSPIRACY,felony
SPEED LIMITATIONS GENERALLY;PENALTY (10 MPH OR LESS ABOVE),misdemeanor
SPEEDING SCHOOL ZONE,misdemeanor
NO SEATBELT,misdemeanor
TAKING IDENTITY OF ANOTHER PERSON,misdemeanor
NO INSURANCE,misdemeanor
"OBTAINING MONEY, PROPERTY, SERVICE BY FALSE PRETENSE",misdemeanor
DRIVING SUSPENDED,misdemeanor
DOMESTIC BATTERY - UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
HARRASSMENT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DESTRUCTION OF PROPERTY,felony
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DOMESTIC BATTERY,misdemeanor
NO PASSING ZONE,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
SEAT BELT VIOLATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
MALICIOUS WOUNDING,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
MANUFACTURE/ DELIVER/ POSSESS WITH INTENT TO MANUFACTURE/ DELIVER,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
PROVIDING FALSE INFORMATION,misdemeanor
VEHICLES MUST STOP AT THROUGH HIGHWAYS; ERECTION OF SIGNS,misdemeanor
EXPIRED REGISTRATION,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
TRUANCY,misdemeanor
TRESPASSING,misdemeanor
TRUANCY,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
CONSPIRACY; CONSTRUCTION OF SECTION,misdemeanor
PETIT LARCENY,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
CONSPIRACY; CONSTRUCTION OF SECTION,misdemeanor
PETIT LARCENY,misdemeanor
CONSPIRACY; CONSTRUCTION OF SECTION,misdemeanor
UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
PUNISHMENTOF ACCESSORIES - ACCESSORY BEFORE THE ACT,felony
DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
PETIT LARCENY,misdemeanor
BURGLARY,felony
UNLAWFUL POSSESSION OF A CONTROLLED SUBSTANCE,felony
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
BURGLARY,felony
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
BURGLARY,felony
PETIT LARCENY,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
PETIT LARCENY,misdemeanor
GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
OPERATION WITHOUT CERTIFICATION OF INSPECTION,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
RECKLESS DRIVING,misdemeanor
IN FRONT SEAT,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
DRIVING SUSPENDED/REVOKED-GENERAL,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-GENERAL,misdemeanor
DOMESTIC ASSAULT,misdemeanor
IMPROPER USE OF EVIDENCE OF REGISTATION,misdemeanor
KNOWINGLY/INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC BATTERY,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
KNOWINGLY/INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
UNSAFE/IMPROPERLY EQUIPPED VEHICLE,misdemeanor
DRIVING REVOKED FOR DUI,misdemeanor
ATTEMPT TO COMMIT A FELONY,felony
DRIVING WHILE SUSPENDED/REVOKED-NON DUI,misdemeanor
FUGITIVE WARRANT-PROBATION VIOLATION-UTTERING CHECK,unknown
DRIVING SUSPENDED/REVOKED-GENERAL,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE NON DUI 3RD OFFENSE,misdemeanor
DRIVING SUSPENDED 2ND OFFENSE,misdemeanor
WINDOW TINT VIOLATION,misdemeanor
DRIVING UNDER THE INFLUENCE (DRUGS) 1ST OFFENSE,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI 2ND OFFENSE,misdemeanor
DRIVING WHILE REVOKED FOR DUI,misdemeanor
DRIVING WHILE REVOKED FOR DUI,misdemeanor
VEHICLE MUST STOP AT THROUGH HIGHWAY,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
DRIVING SUSPENDED/REVOKED-GENERAL,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE NON DUI 3RD OFFENSE,misdemeanor
IMPROPER MOTOR VEHICLE INSURANCE,misdemeanor
REQUIRED SIGNALS,misdemeanor
DRIVING SUSPENDED/REVOKED-GENERAL,misdemeanor
MAKING FALSE STATEMENT TO OFFICER,misdemeanor
NO INSURANCE,misdemeanor
CERTAIN VEHICLES MUST STOP AT ALL RAILROAD GRADE CROSSINGS(COMMERCIAL LICENSE),misdemeanor
STOP SIGN,misdemeanor
DELIVERY OF HEROIN,felony
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
DELIVERY OF HEROIN,felony
DELIVERY OF HEROIN,felony
DOMESTIC ASSAULT,misdemeanor
DOMESTIC BATTERY,misdemeanor
BRANDISHING DEADLY WEAPONS;THREATENING OR CAUSING BREACH OF THE PEACE;CRIMINAL PENALTIES,misdemeanor
IMPROPER INSPECTION,misdemeanor
DRIVING SUSPENDED,misdemeanor
IMPROPER REGISTRATION,misdemeanor
EXPIRED REGISTRATION,misdemeanor
PETIT LARCENYV,misdemeanor
FAILURE TO YEILD 1/2 PAVEMENT PORTION,misdemeanor
VEHICLES MUST STOP AT THROUGH HIGHWAYS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION-MARIJUANA,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
CONSPIRACY,misdemeanor
NO INSURANCE,misdemeanor
TRUANCY,misdemeanor
FALSELY REPORTING EMERGENCY INCIDENT,misdemeanor
DRIVING SUSPENDED/ REVOKED; GENERAL,misdemeanor
DRIVING SUSPENDED/ REVOKED; GENERAL,misdemeanor
SHOPLIFTING LESS THAN $500,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
OPERATION OF VEHICLE WITH SAFETY BELTS,misdemeanor
UNLAWFUL ACTS OF PERSON - NONINTOXICATED BEER,misdemeanor
DRIVING LEFT OF CENTER LINE,misdemeanor
DUI WITH ALCOHOL CONCENTRATION IN BLOOD GREATER THAN .15,misdemeanor
